step,loss_roll,acc_roll,alW1,alW2,alW3,alAll,alAll_std,cW1,cW2,cW3,bW1,bW2,bW3
200,0.02379,0.720,+0.0336,+0.3205,+0.4683,+0.2741,0.3952,+0.0000,+0.0000,+0.0000,0.000,0.000,0.000
400,0.01566,0.870,+0.0080,+0.1832,+0.3063,+0.1658,0.3229,+0.0000,+0.0000,+0.0000,0.000,0.000,0.000
600,0.01114,0.920,-0.0109,+0.1329,+0.2668,+0.1296,0.3612,+0.0000,+0.0000,+0.0000,0.000,0.000,0.000
800,0.01155,0.920,+0.0143,+0.1312,+0.2783,+0.1412,0.3568,+0.0000,+0.0000,+0.0000,0.000,0.000,0.000
1000,0.01356,0.880,-0.0156,+0.0995,+0.2780,+0.1206,0.3666,-0.0014,+0.0168,-0.0082,242.973,75.294,16.871
