step,loss_roll,acc_roll,alW1,alW2,alW3,alAll,alAll_std,cW1,cW2,cW3,bW1,bW2,bW3
200,0.06222,0.090,+0.7776,+0.8125,+0.9008,+0.8303,0.1173,+0.0097,+0.0007,+0.0084,1.131,0.020,0.392
400,0.05311,0.190,+0.7320,+0.7880,+0.8887,+0.8029,0.1397,+0.0042,-0.0003,+0.0030,1.347,0.010,0.099
600,0.05355,0.120,+0.6856,+0.7748,+0.8874,+0.7826,0.1514,+0.0030,-0.0008,+0.0036,1.075,0.034,0.085
800,0.05229,0.120,+0.6851,+0.7663,+0.8838,+0.7784,0.1576,+0.0027,-0.0010,+0.0017,2.841,0.061,0.027
1000,0.05047,0.160,+0.6789,+0.7686,+0.8861,+0.7779,0.1503,+0.0014,-0.0002,+0.0027,1.602,0.019,0.041
