step,loss_roll,acc_roll,alW1,alW2,alW3,alAll,alAll_std,cW1,cW2,cW3,bW1,bW2,bW3
200,0.04928,0.220,+0.1134,+0.3884,+0.5099,+0.3373,0.3941,-0.0026,+0.0072,+0.0330,0.685,0.320,0.414
400,0.04937,0.230,-0.0019,+0.2344,+0.3261,+0.1862,0.3455,-0.0013,+0.0079,+0.0170,1.530,4.704,3.476
600,0.04947,0.200,+0.0391,+0.1992,+0.2938,+0.1774,0.4036,-0.0027,+0.0086,+0.0181,4.041,1.322,2.469
800,0.04941,0.260,+0.1020,+0.2524,+0.3298,+0.2280,0.4071,-0.0024,+0.0092,+0.0191,18.789,1.574,1.606
1000,0.04925,0.250,+0.1478,+0.2888,+0.3443,+0.2603,0.4082,-0.0033,+0.0053,+0.0157,39.259,1.154,1.430
