step,loss_roll,acc_roll,alW1,alW2,alW3,alAll,alAll_std,cW1,cW2,cW3,bW1,bW2,bW3
200,0.04921,0.170,+0.0923,+0.3803,+0.5067,+0.3264,0.3864,-0.0024,+0.0069,+0.0314,0.615,0.349,0.416
400,0.04920,0.130,+0.0156,+0.2380,+0.3308,+0.1948,0.3339,-0.0019,+0.0071,+0.0158,2.617,2.161,4.101
600,0.04947,0.140,+0.0682,+0.2224,+0.3121,+0.2009,0.3923,-0.0022,+0.0069,+0.0159,3.007,1.450,3.391
800,0.04954,0.160,+0.1055,+0.2597,+0.3328,+0.2327,0.4123,-0.0026,+0.0070,+0.0176,3.623,1.671,1.624
1000,0.04929,0.220,+0.1999,+0.3158,+0.3806,+0.2988,0.4026,-0.0029,+0.0038,+0.0147,19.465,0.839,1.494
