step,loss_roll,acc_roll,alW1,alW2,alW3,alAll,alAll_std,cW1,cW2,cW3,bW1,bW2,bW3
200,0.04960,0.220,+0.2584,+0.5683,+0.6846,+0.5038,0.3860,-0.0022,+0.0012,+0.0197,0.303,0.033,0.148
400,0.04920,0.360,-0.0404,+0.2058,+0.3295,+0.1650,0.3161,+0.0014,+0.0100,+0.0189,1.109,1.122,1.048
600,0.04944,0.450,-0.0323,+0.1824,+0.2833,+0.1445,0.3392,-0.0006,+0.0122,+0.0212,1.093,2.201,3.207
800,0.04939,0.580,+0.0283,+0.2282,+0.3143,+0.1902,0.3506,-0.0007,+0.0143,+0.0230,0.820,1.643,1.948
1000,0.04948,0.630,+0.0385,+0.2381,+0.3137,+0.1968,0.3384,-0.0022,+0.0101,+0.0212,2.161,1.291,1.732
