step,loss_roll,acc_roll,alW1,alW2,alW3,alAll,alAll_std,cW1,cW2,cW3,bW1,bW2,bW3
200,0.04903,0.810,+0.0294,+0.2912,+0.4309,+0.2505,0.4172,-0.0033,+0.0086,+0.0334,1.155,0.676,0.637
400,0.04967,0.930,+0.0185,+0.2312,+0.3274,+0.1923,0.3873,-0.0017,+0.0083,+0.0212,5.182,2.392,1.490
600,0.04932,0.960,+0.0761,+0.2003,+0.3096,+0.1953,0.4352,-0.0011,+0.0105,+0.0231,108.597,1.609,1.425
800,0.04980,0.980,+0.0993,+0.2371,+0.3344,+0.2236,0.4286,-0.0020,+0.0092,+0.0239,3.476,1.834,1.137
1000,0.04925,0.980,+0.1402,+0.2467,+0.3280,+0.2383,0.4310,-0.0027,+0.0080,+0.0223,5.826,1.213,1.065
