step,loss_roll,acc_roll,alW1,alW2,alW3,alAll,alAll_std,cW1,cW2,cW3,bW1,bW2,bW3
200,0.05782,0.060,+0.3436,+0.3685,+0.5001,+0.4040,0.2411,+0.0103,+0.0029,+0.0100,1.104,0.147,0.141
400,0.05570,0.070,+0.2129,+0.2546,+0.3956,+0.2877,0.2540,+0.0048,+0.0002,+0.0032,2.018,0.032,0.039
600,0.05415,0.070,+0.1591,+0.2448,+0.3849,+0.2629,0.2416,+0.0044,+0.0015,+0.0073,2.820,0.996,0.104
800,0.05256,0.130,+0.1084,+0.2037,+0.3696,+0.2272,0.2433,+0.0000,+0.0002,+0.0079,0.020,0.038,0.110
1000,0.05473,0.070,+0.1099,+0.2039,+0.3622,+0.2253,0.2407,+0.0038,+0.0010,+0.0083,1.086,0.258,0.142
