step,loss_roll,acc_roll,alW1,alW2,alW3,alAll,alAll_std,cW1,cW2,cW3,bW1,bW2,bW3
200,0.04973,0.580,+0.0970,+0.3769,+0.5089,+0.3276,0.4040,+0.0000,+0.0000,+0.0000,0.000,0.000,0.000
400,0.04985,0.770,-0.0268,+0.1963,+0.3086,+0.1593,0.3545,+0.0000,+0.0000,+0.0000,0.000,0.000,0.000
600,0.04956,0.870,-0.0017,+0.1770,+0.2760,+0.1504,0.3945,+0.0000,+0.0000,+0.0000,0.000,0.000,0.000
800,0.04996,0.920,+0.0483,+0.2113,+0.3042,+0.1879,0.4062,+0.0000,+0.0000,+0.0000,0.000,0.000,0.000
1000,0.04964,0.930,+0.0773,+0.2298,+0.3021,+0.2031,0.3998,-0.0154,+0.0114,-0.0152,68.009,1219.785,14.672
