step,loss_roll,acc_roll,alW1,alW2,alW3,alAll,alAll_std,cW1,cW2,cW3,bW1,bW2,bW3
200,0.04965,0.060,+0.7772,+0.8053,+0.8939,+0.8255,0.1341,+0.0089,+0.0056,+0.0193,0.927,0.197,2.220
400,0.04913,0.150,+0.7423,+0.7845,+0.8906,+0.8058,0.1383,+0.0052,+0.0035,+0.0150,1.342,0.189,0.402
600,0.04922,0.120,+0.7052,+0.7806,+0.8873,+0.7910,0.1420,+0.0043,+0.0028,+0.0131,1.925,0.204,0.235
800,0.04852,0.150,+0.6901,+0.7692,+0.8884,+0.7826,0.1545,+0.0015,+0.0010,+0.0095,0.858,0.078,0.131
1000,0.04902,0.110,+0.6923,+0.7787,+0.8835,+0.7849,0.1421,+0.0024,+0.0017,+0.0094,19.702,0.220,0.132
