step,loss_roll,acc_roll,alW1,alW2,alW3,alAll,alAll_std,cW1,cW2,cW3,bW1,bW2,bW3
200,0.04931,0.310,+0.3546,+0.6091,+0.7146,+0.5594,0.3064,-0.0011,+0.0055,+0.0267,0.572,0.361,0.369
400,0.04900,0.410,+0.2040,+0.4485,+0.5592,+0.4039,0.3099,-0.0013,+0.0075,+0.0210,1.530,1.923,3.624
600,0.04911,0.560,+0.2423,+0.4348,+0.5253,+0.4008,0.3581,-0.0026,+0.0081,+0.0233,28.600,1.126,2.914
800,0.04926,0.730,+0.3578,+0.4957,+0.5668,+0.4734,0.3305,-0.0018,+0.0077,+0.0258,11.765,1.145,1.619
1000,0.04934,0.750,+0.4017,+0.5282,+0.5817,+0.5039,0.3425,-0.0037,+0.0049,+0.0248,127.854,0.977,1.207
