R,mode,dT,sim_time_s,corr_W1_all,corr_W2_all,corr_W3_all,cov_W3_all,corr_W1_fin,corr_W2_fin,corr_W3_fin,corr_W3_f25,corr_W3_l75,loss_last300,loss_last500,loss_min_roll,acc_last500,p_sign_last500,norm_loss
200,scaled,0.5,750,0.0348,-0.0079,0.1616,231.0845,0.0397,-0.0151,0.1540,0.1244,0.1628,0.1639,0.1714,0.1323,0.4320,0.4802,0.0857
200,scaled,1,1500,0.0269,-0.0040,0.1674,234.0310,0.0195,-0.0081,0.1643,0.1202,0.1780,0.1371,0.1391,0.1102,0.5500,0.4766,0.0983
200,scaled,2,3000,0.0169,-0.0071,0.1473,216.0858,0.0051,-0.0164,0.1314,0.1084,0.1414,0.1125,0.1139,0.0918,0.6500,0.4530,0.1139
200,scaled,4,6000,0.0174,-0.0041,0.1146,173.1572,0.0174,-0.0081,0.1045,0.1158,0.1026,0.0642,0.0636,0.0493,0.8040,0.4282,0.0900
